"","palabra","sentimiento","lexicon","valor"
"124","abusón","Negativo","nrc",NA
"125","abyecto","Rechazo","nrc",NA
"126","abyecto","Negativo","nrc",NA
"127","academia","Positivo","nrc",NA
"128","académico","Confianza","nrc",NA
"129","académico","Positivo","nrc",NA
"130","acantilado","Miedo","nrc",NA
"131","ácaro","Rechazo","nrc",NA
"132","ácaro","Negativo","nrc",NA
"133","accesible","Positivo","nrc",NA
"134","accesorio","Positivo","nrc",NA
"135","accidental","Asombro","nrc",NA
"136","accidental","Miedo","nrc",NA
"137","accidental","Negativo","nrc",NA
"138","accidentalmente","Asombro","nrc",NA
"139","accidente","Asombro","nrc",NA
"140","accidente","Miedo","nrc",NA
"141","accidente","Negativo","nrc",NA
"142","accidente","Tristeza","nrc",NA
"143","acción","Positivo","nrc",NA
"144","acecho","Negativo","nrc",NA
"145","acelerador","Enojo","nrc",NA
"146","acelerador","Negativo","nrc",NA
"147","acelerar","Anticipación","nrc",NA
"148","aceptable","Positivo","nrc",NA
"149","aceptación","Positivo","nrc",NA
"150","acertijo","Asombro","nrc",NA
"151","achispado","Negativo","nrc",NA
"152","acidez","Negativo","nrc",NA
"153","ácido","Negativo","nrc",NA
"154","aclarar","Alegría","nrc",NA
"155","aclarar","Asombro","nrc",NA
"156","aclarar","Confianza","nrc",NA
"157","aclarar","Positivo","nrc",NA
"158","acogedor","Positivo","nrc",NA
"159","acolchado","Positivo","nrc",NA
"160","acompañamiento","Alegría","nrc",NA
"161","acompañamiento","Confianza","nrc",NA
"162","acompañamiento","Positivo","nrc",NA
"163","acompañamiento","Anticipación","nrc",NA
"164","acomplejado","Negativo","nrc",NA
"165","aconsejable","Confianza","nrc",NA
"166","aconsejable","Positivo","nrc",NA
"167","aconsejado","Confianza","nrc",NA
"168","acontecer","Negativo","nrc",NA
"169","acordando","Confianza","nrc",NA
"170","acordando","Positivo","nrc",NA
"171","acordar","Alegría","nrc",NA
"172","acordar","Asombro","nrc",NA
"173","acordar","Confianza","nrc",NA
"174","acordar","Positivo","nrc",NA
"175","acordar","Anticipación","nrc",NA
"176","acorde","Positivo","nrc",NA
"177","acoso","Rechazo","nrc",NA
"178","acoso","Enojo","nrc",NA
"179","acoso","Miedo","nrc",NA
"180","acoso","Negativo","nrc",NA
"181","acoso","Tristeza","nrc",NA
"182","acostado","Rechazo","nrc",NA
"183","acostado","Enojo","nrc",NA
"184","acostado","Negativo","nrc",NA
"185","acre","Rechazo","nrc",NA
"186","acre","Negativo","nrc",NA
"187","acreditado","Confianza","nrc",NA
"188","acreditado","Positivo","nrc",NA
"189","acribillado","Negativo","nrc",NA
"190","acróbata","Alegría","nrc",NA
"191","acróbata","Confianza","nrc",NA
"192","acróbata","Miedo","nrc",NA
"193","acróbata","Positivo","nrc",NA
"194","acuchillar","Enojo","nrc",NA
"195","acuerdo","Alegría","nrc",NA
"196","acuerdo","Asombro","nrc",NA
"197","acuerdo","Confianza","nrc",NA
"198","acuerdo","Positivo","nrc",NA
"199","acuerdo","Anticipación","nrc",NA
"200","acuoso","Negativo","nrc",NA
"201","acusación","Rechazo","nrc",NA
"202","acusación","Enojo","nrc",NA
"203","acusación","Miedo","nrc",NA
"204","acusación","Negativo","nrc",NA
"205","acusación","Tristeza","nrc",NA
"206","acusado","Enojo","nrc",NA
"207","acusado","Miedo","nrc",NA
"208","acusado","Negativo","nrc",NA
"209","acusado","Tristeza","nrc",NA
"210","acusador","Enojo","nrc",NA
"211","acusador","Miedo","nrc",NA
"212","acusador","Negativo","nrc",NA
"213","acusando","Enojo","nrc",NA
"214","acusando","Miedo","nrc",NA
"215","acusando","Negativo","nrc",NA
"216","acusativo","Negativo","nrc",NA
"217","adaptable","Positivo","nrc",NA
"218","adaptar","Positivo","nrc",NA
"219","adecuación","Positivo","nrc",NA
"220","adecuado","Alegría","nrc",NA
"221","adecuado","Confianza","nrc",NA
"222","adecuado","Positivo","nrc",NA
"223","adecuado","Anticipación","nrc",NA
"224","adelante","Positivo","nrc",NA
"225","adelanto","Positivo","nrc",NA
"226","adepto","Positivo","nrc",NA
"227","adhiriéndose","Confianza","nrc",NA
"228","adicción","Negativo","nrc",NA
"229","adiós","Anticipación","nrc",NA
"230","adiposo","Negativo","nrc",NA
"231","adivinación","Anticipación","nrc",NA
"232","adivinar","Asombro","nrc",NA
"233","adjunto","Positivo","nrc",NA
"234","administración","Confianza","nrc",NA
"235","administración","Positivo","nrc",NA
"236","administrativo","Confianza","nrc",NA
"237","admirable","Alegría","nrc",NA
"238","admirable","Confianza","nrc",NA
"239","admirable","Positivo","nrc",NA
"240","admiración","Alegría","nrc",NA
"241","admiración","Confianza","nrc",NA
"242","admiración","Positivo","nrc",NA
"243","admirador","Positivo","nrc",NA
"244","admirar","Confianza","nrc",NA
"245","admirar","Positivo","nrc",NA
"246","admisible","Confianza","nrc",NA
"247","admisible","Positivo","nrc",NA
"248","admonición","Miedo","nrc",NA
"249","admonición","Negativo","nrc",NA
"250","adoctrinamiento","Enojo","nrc",NA
"251","adoctrinamiento","Miedo","nrc",NA
"252","adoctrinamiento","Negativo","nrc",NA
"253","adolescentes","Negativo","nrc",NA
"254","adolescentes","Positivo","nrc",NA
"255","adorable","Alegría","nrc",NA
"256","adorable","Positivo","nrc",NA
"257","adoración","Alegría","nrc",NA
"258","adoración","Confianza","nrc",NA
"259","adoración","Positivo","nrc",NA
"260","adorar","Alegría","nrc",NA
"261","adorar","Confianza","nrc",NA
"262","adorar","Positivo","nrc",NA
"263","adorar","Anticipación","nrc",NA
"264","adornar","Negativo","nrc",NA
"265","adornos","Negativo","nrc",NA
"266","adquirir","Positivo","nrc",NA
"267","adulterado","Negativo","nrc",NA
"268","adulterio","Rechazo","nrc",NA
"269","adulterio","Negativo","nrc",NA
"270","adulterio","Tristeza","nrc",NA
"271","advenimiento","Alegría","nrc",NA
"272","advenimiento","Confianza","nrc",NA
"273","advenimiento","Positivo","nrc",NA
"274","advenimiento","Anticipación","nrc",NA
"275","adversario","Rechazo","nrc",NA
"276","adversario","Enojo","nrc",NA
"277","adversario","Miedo","nrc",NA
"278","adversario","Negativo","nrc",NA
"279","adversario","Anticipación","nrc",NA
"280","adversidad","Enojo","nrc",NA
"281","adversidad","Miedo","nrc",NA
"282","adversidad","Negativo","nrc",NA
"283","adversidad","Tristeza","nrc",NA
"284","adverso","Rechazo","nrc",NA
"285","adverso","Enojo","nrc",NA
"286","adverso","Miedo","nrc",NA
"287","adverso","Negativo","nrc",NA
"288","adverso","Tristeza","nrc",NA
"289","advertencia","Miedo","nrc",NA
"290","advertir","Asombro","nrc",NA
"291","advertir","Confianza","nrc",NA
"292","advertir","Miedo","nrc",NA
"293","advertir","Negativo","nrc",NA
"294","advertir","Anticipación","nrc",NA
"295","aeropuerto","Anticipación","nrc",NA
"296","afable","Positivo","nrc",NA
"297","afán","Alegría","nrc",NA
"298","afán","Confianza","nrc",NA
"299","afán","Positivo","nrc",NA
"300","afán","Anticipación","nrc",NA
"301","afectado","Negativo","nrc",NA
"302","afecto","Alegría","nrc",NA
"303","afecto","Confianza","nrc",NA
"304","afecto","Positivo","nrc",NA
"305","afeminado","Negativo","nrc",NA
"306","afición","Alegría","nrc",NA
"307","afición","Positivo","nrc",NA
"308","afilar","Enojo","nrc",NA
"309","afilar","Anticipación","nrc",NA
"310","afín","Alegría","nrc",NA
"311","afín","Confianza","nrc",NA
"312","afín","Positivo","nrc",NA
"313","afín","Anticipación","nrc",NA
"314","afirmación","Positivo","nrc",NA
"315","afirmando","Confianza","nrc",NA
"316","afirmando","Positivo","nrc",NA
"317","afirmar","Confianza","nrc",NA
"318","afirmar","Positivo","nrc",NA
"319","afirmativamente","Confianza","nrc",NA
"320","afirmativamente","Positivo","nrc",NA
"321","afirmativo","Positivo","nrc",NA
"322","aflicción","Rechazo","nrc",NA
"323","aflicción","Miedo","nrc",NA
"324","aflicción","Negativo","nrc",NA
"325","aflicción","Tristeza","nrc",NA
"326","afligido","Negativo","nrc",NA
"327","afligido","Tristeza","nrc",NA
"328","afligir","Miedo","nrc",NA
"329","afligir","Negativo","nrc",NA
"330","afligir","Tristeza","nrc",NA
"331","afligirse","Miedo","nrc",NA
"332","afligirse","Negativo","nrc",NA
"333","afligirse","Tristeza","nrc",NA
"334","afluente","Positivo","nrc",NA
"335","afluente","Anticipación","nrc",NA
"336","aforo","Confianza","nrc",NA
"337","afortunado","Alegría","nrc",NA
"338","afortunado","Asombro","nrc",NA
"339","afortunado","Positivo","nrc",NA
"340","afrenta","Asombro","nrc",NA
"341","afrenta","Rechazo","nrc",NA
"342","afrenta","Enojo","nrc",NA
"343","afrenta","Miedo","nrc",NA
"344","afrenta","Negativo","nrc",NA
"345","afrenta","Tristeza","nrc",NA
"346","agacharse","Miedo","nrc",NA
"347","agarrando","Negativo","nrc",NA
"348","agarrando","Anticipación","nrc",NA
"349","agarrar","Enojo","nrc",NA
"350","agarrar","Negativo","nrc",NA
"351","agazapado","Miedo","nrc",NA
"352","agazapado","Negativo","nrc",NA
"353","ágil","Positivo","nrc",NA
"354","agilidad","Positivo","nrc",NA
"355","agitación","Enojo","nrc",NA
"356","agitación","Miedo","nrc",NA
"357","agitación","Negativo","nrc",NA
"358","agitado","Enojo","nrc",NA
"359","agitado","Negativo","nrc",NA
"360","agonía","Enojo","nrc",NA
"361","agonía","Miedo","nrc",NA
"362","agonía","Negativo","nrc",NA
"363","agonía","Tristeza","nrc",NA
"364","agonizante","Miedo","nrc",NA
"365","agonizante","Negativo","nrc",NA
"366","agotado","Negativo","nrc",NA
"367","agotado","Tristeza","nrc",NA
"368","agotamiento","Negativo","nrc",NA
"369","agotamiento","Anticipación","nrc",NA
"370","agotamiento","Tristeza","nrc",NA
"371","agraciado","Positivo","nrc",NA
"372","agradable","Alegría","nrc",NA
"373","agradable","Asombro","nrc",NA
"374","agradable","Confianza","nrc",NA
"375","agradable","Positivo","nrc",NA
"376","agradable","Anticipación","nrc",NA
"377","agradecido","Alegría","nrc",NA
"378","agradecido","Positivo","nrc",NA
"379","agravación","Rechazo","nrc",NA
"380","agravación","Enojo","nrc",NA
"381","agravación","Negativo","nrc",NA
"382","agravado","Enojo","nrc",NA
"383","agravado","Negativo","nrc",NA
"384","agravante","Enojo","nrc",NA
"385","agravante","Negativo","nrc",NA
"386","agravante","Tristeza","nrc",NA
"387","agravio","Rechazo","nrc",NA
"388","agravio","Enojo","nrc",NA
"389","agravio","Negativo","nrc",NA
"390","agravio","Tristeza","nrc",NA
"391","agresión","Enojo","nrc",NA
"392","agresión","Miedo","nrc",NA
"393","agresión","Negativo","nrc",NA
"394","agresivo","Enojo","nrc",NA
"395","agresivo","Miedo","nrc",NA
"396","agresivo","Negativo","nrc",NA
"397","agresor","Enojo","nrc",NA
"398","agresor","Miedo","nrc",NA
"399","agresor","Negativo","nrc",NA
"400","agresor","Tristeza","nrc",NA
"401","agricultura","Confianza","nrc",NA
"402","agricultura","Positivo","nrc",NA
"403","agrietado","Enojo","nrc",NA
"404","agrietado","Miedo","nrc",NA
"405","agrietado","Negativo","nrc",NA
"406","agrietamiento","Negativo","nrc",NA
"407","agrimensura","Positivo","nrc",NA
"408","agrio","Rechazo","nrc",NA
"409","agrio","Negativo","nrc",NA
"410","aguanieve","Negativo","nrc",NA
"411","aguante","Confianza","nrc",NA
"412","aguante","Positivo","nrc",NA
"413","agudeza","Positivo","nrc",NA
"414","agudísimo","Miedo","nrc",NA
"415","agudísimo","Negativo","nrc",NA
"416","agüero","Miedo","nrc",NA
"417","agüero","Negativo","nrc",NA
"418","agüero","Anticipación","nrc",NA
"419","águila","Confianza","nrc",NA
"420","agujereado","Negativo","nrc",NA
"421","ahogado","Enojo","nrc",NA
"422","ahogado","Miedo","nrc",NA
"423","ahogado","Negativo","nrc",NA
"424","ahogado","Tristeza","nrc",NA
"425","ahogar","Enojo","nrc",NA
"426","ahogar","Negativo","nrc",NA
"427","ahogarse","Miedo","nrc",NA
"428","ahogarse","Negativo","nrc",NA
"429","ahogarse","Tristeza","nrc",NA
"430","ahorro","Confianza","nrc",NA
"431","ahorro","Rechazo","nrc",NA
"432","ahorro","Positivo","nrc",NA
"433","ahorros","Positivo","nrc",NA
"434","airado","Enojo","nrc",NA
"435","airado","Negativo","nrc",NA
"436","aires","Rechazo","nrc",NA
"437","aires","Negativo","nrc",NA
"438","aislado","Miedo","nrc",NA
"439","aislado","Negativo","nrc",NA
"440","aislado","Tristeza","nrc",NA
"441","aislamiento","Confianza","nrc",NA
"442","aislamiento","Negativo","nrc",NA
"443","aislamiento","Tristeza","nrc",NA
"444","aislar","Tristeza","nrc",NA
"445","ajedrea","Positivo","nrc",NA
"446","alabado","Alegría","nrc",NA
"447","alabado","Positivo","nrc",NA
"448","alabanza","Alegría","nrc",NA
"449","alabanza","Confianza","nrc",NA
"450","alabanza","Positivo","nrc",NA
"451","alabastro","Positivo","nrc",NA
"452","alardear","Negativo","nrc",NA
"453","alarma","Asombro","nrc",NA
"454","alarma","Miedo","nrc",NA
"455","alarma","Negativo","nrc",NA
"456","alarmante","Asombro","nrc",NA
"457","alarmante","Miedo","nrc",NA
"458","alarmante","Negativo","nrc",NA
"459","alba","Confianza","nrc",NA
"460","albacea","Confianza","nrc",NA
"461","alborada","Anticipación","nrc",NA
"462","alboroto","Enojo","nrc",NA
"463","alboroto","Miedo","nrc",NA
"464","alboroto","Negativo","nrc",NA
"465","alcalde","Positivo","nrc",NA
"466","alcantarilla","Rechazo","nrc",NA
"467","alcantarillado","Rechazo","nrc",NA
"468","alcantarillado","Negativo","nrc",NA
"469","alcanzable","Positivo","nrc",NA
"470","alcanzable","Anticipación","nrc",NA
"471","alcohol","Alegría","nrc",NA
"472","alcohol","Enojo","nrc",NA
"473","alcohol","Negativo","nrc",NA
"474","alcohol","Tristeza","nrc",NA
"475","alcoholismo","Rechazo","nrc",NA
"476","alcoholismo","Enojo","nrc",NA
"477","alcoholismo","Miedo","nrc",NA
"478","alcoholismo","Negativo","nrc",NA
"479","alcoholismo","Tristeza","nrc",NA
"480","aldeano","Confianza","nrc",NA
"481","aldeano","Positivo","nrc",NA
"482","aleatorización","Negativo","nrc",NA
"483","alegación","Enojo","nrc",NA
"484","alegación","Negativo","nrc",NA
"485","alegar","Negativo","nrc",NA
"486","alegre","Alegría","nrc",NA
"487","alegre","Asombro","nrc",NA
"488","alegre","Confianza","nrc",NA
"489","alegre","Positivo","nrc",NA
"490","alegre","Anticipación","nrc",NA
"491","alegría","Alegría","nrc",NA
"492","alegría","Asombro","nrc",NA
"493","alegría","Confianza","nrc",NA
"494","alegría","Positivo","nrc",NA
"495","alegría","Anticipación","nrc",NA
"496","alegro","Positivo","nrc",NA
"497","alejado","Enojo","nrc",NA
"498","alejado","Miedo","nrc",NA
"499","alejado","Negativo","nrc",NA
"500","alejado","Tristeza","nrc",NA
"501","alentar","Alegría","nrc",NA
"502","alentar","Confianza","nrc",NA
"503","alentar","Positivo","nrc",NA
"504","alertas","Asombro","nrc",NA
"505","alertas","Miedo","nrc",NA
"506","alertas","Anticipación","nrc",NA
"507","alférez","Positivo","nrc",NA
"508","algarabía","Enojo","nrc",NA
"509","algarabía","Negativo","nrc",NA
"510","alguacil","Confianza","nrc",NA
"511","alguacil","Miedo","nrc",NA
"512","alguacil","Negativo","nrc",NA
"513","aliado","Confianza","nrc",NA
"514","aliado","Positivo","nrc",NA
"515","alianza","Confianza","nrc",NA
"516","alienación","Rechazo","nrc",NA
"517","alienación","Enojo","nrc",NA
"518","alienación","Miedo","nrc",NA
"519","alienación","Negativo","nrc",NA
"520","alienación","Tristeza","nrc",NA
"521","alienado","Negativo","nrc",NA
"522","alienado","Tristeza","nrc",NA
"523","alimentación","Positivo","nrc",NA
"524","alimento","Positivo","nrc",NA
"525","aliviando","Positivo","nrc",NA
"526","aliviar","Positivo","nrc",NA
"527","alivio","Alegría","nrc",NA
"528","alivio","Confianza","nrc",NA
"529","alivio","Positivo","nrc",NA
"530","alma","Positivo","nrc",NA
"531","almirante","Confianza","nrc",NA
"532","almirante","Positivo","nrc",NA
"533","almohada","Positivo","nrc",NA
"534","alojamiento","Confianza","nrc",NA
"535","alojamiento","Positivo","nrc",NA
"536","alquitranado","Negativo","nrc",NA
"537","altercado","Enojo","nrc",NA
"538","altercado","Negativo","nrc",NA
"539","altivo","Enojo","nrc",NA
"540","altivo","Negativo","nrc",NA
"541","alto","Negativo","nrc",NA
"542","altruista","Positivo","nrc",NA
"543","alucinación","Miedo","nrc",NA
"544","alucinación","Negativo","nrc",NA
"545","amabilidad","Alegría","nrc",NA
"546","amabilidad","Confianza","nrc",NA
"547","amabilidad","Positivo","nrc",NA
"548","amable","Alegría","nrc",NA
"549","amable","Confianza","nrc",NA
"550","amable","Positivo","nrc",NA
"551","amanecer","Alegría","nrc",NA
"552","amanecer","Asombro","nrc",NA
"553","amanecer","Confianza","nrc",NA
"554","amanecer","Positivo","nrc",NA
"555","amanecer","Anticipación","nrc",NA
"556","amanerado","Positivo","nrc",NA
"557","amante","Alegría","nrc",NA
"558","amante","Confianza","nrc",NA
"559","amante","Positivo","nrc",NA
"560","amante","Anticipación","nrc",NA
"561","amargamente","Rechazo","nrc",NA
"562","amargamente","Enojo","nrc",NA
"563","amargamente","Negativo","nrc",NA
"564","amargamente","Tristeza","nrc",NA
"565","amargura","Rechazo","nrc",NA
"566","amargura","Enojo","nrc",NA
"567","amargura","Negativo","nrc",NA
"568","amargura","Tristeza","nrc",NA
"569","amarillos","Negativo","nrc",NA
"570","amarras","Confianza","nrc",NA
"571","ambición","Alegría","nrc",NA
"572","ambición","Confianza","nrc",NA
"573","ambición","Positivo","nrc",NA
"574","ambición","Anticipación","nrc",NA
"575","ambicioso","Alegría","nrc",NA
"576","ambicioso","Confianza","nrc",NA
"577","ambicioso","Positivo","nrc",NA
"578","ambicioso","Anticipación","nrc",NA
"579","ambiental","Positivo","nrc",NA
"580","ambiguo","Negativo","nrc",NA
"581","ambulancia","Confianza","nrc",NA
"582","ambulancia","Miedo","nrc",NA
"583","amén","Alegría","nrc",NA
"584","amén","Confianza","nrc",NA
"585","amén","Positivo","nrc",NA
"586","amenaza","Enojo","nrc",NA
"587","amenaza","Miedo","nrc",NA
"588","amenaza","Negativo","nrc",NA
"589","amenazador","Enojo","nrc",NA
"590","amenazador","Miedo","nrc",NA
"591","amenazador","Negativo","nrc",NA
"592","amenazante","Rechazo","nrc",NA
"593","amenazante","Enojo","nrc",NA
"594","amenazante","Miedo","nrc",NA
"595","amenazante","Negativo","nrc",NA
"596","amenazar","Enojo","nrc",NA
"597","amenazar","Miedo","nrc",NA
"598","amenazar","Negativo","nrc",NA
"599","amenazar","Anticipación","nrc",NA
"600","amenidad","Positivo","nrc",NA
"601","amigo","Alegría","nrc",NA
"602","amigo","Confianza","nrc",NA
"603","amigo","Positivo","nrc",NA
"604","amigo","Anticipación","nrc",NA
"605","amistad","Alegría","nrc",NA
"606","amistad","Confianza","nrc",NA
"607","amistad","Positivo","nrc",NA
"608","amistoso","Alegría","nrc",NA
"609","amistoso","Confianza","nrc",NA
"610","amistoso","Positivo","nrc",NA
"611","amistoso","Anticipación","nrc",NA
"612","amnesia","Negativo","nrc",NA
"613","amnistía","Alegría","nrc",NA
"614","amnistía","Positivo","nrc",NA
"615","amoníaco","Rechazo","nrc",NA
"616","amor","Alegría","nrc",NA
"617","amor","Positivo","nrc",NA
"618","amoroso","Alegría","nrc",NA
"619","amoroso","Confianza","nrc",NA
"620","amoroso","Positivo","nrc",NA
"621","amortización","Confianza","nrc",NA
"622","amotinado","Asombro","nrc",NA
"623","amotinado","Enojo","nrc",NA
"624","amotinado","Miedo","nrc",NA
"625","amotinado","Negativo","nrc",NA
"626","ampliar","Positivo","nrc",NA
"627","ampolla","Rechazo","nrc",NA
"628","ampolla","Negativo","nrc",NA
"629","anaconda","Rechazo","nrc",NA
"630","anaconda","Miedo","nrc",NA
"631","anaconda","Negativo","nrc",NA
"632","anal","Negativo","nrc",NA
"633","analfabeto","Rechazo","nrc",NA
"634","analfabeto","Negativo","nrc",NA
"635","analista","Confianza","nrc",NA
"636","analista","Positivo","nrc",NA
"637","analista","Anticipación","nrc",NA
"638","anarquía","Enojo","nrc",NA
"639","anarquía","Miedo","nrc",NA
"640","anarquía","Negativo","nrc",NA
"641","anarquismo","Enojo","nrc",NA
"642","anarquismo","Miedo","nrc",NA
"643","anarquismo","Negativo","nrc",NA
"644","anarquista","Enojo","nrc",NA
"645","anarquista","Miedo","nrc",NA
"646","anarquista","Negativo","nrc",NA
"647","anatema","Rechazo","nrc",NA
"648","anatema","Enojo","nrc",NA
"649","anatema","Miedo","nrc",NA
"650","anatema","Negativo","nrc",NA
"651","anatema","Tristeza","nrc",NA
"652","ancestral","Confianza","nrc",NA
"653","anciano","Confianza","nrc",NA
"654","anciano","Positivo","nrc",NA
"655","ancianos","Confianza","nrc",NA
"656","ancianos","Positivo","nrc",NA
"657","ancla","Positivo","nrc",NA
"658","andamio","Miedo","nrc",NA
"659","andamio","Negativo","nrc",NA
"660","anfetaminas","Rechazo","nrc",NA
"661","anfetaminas","Negativo","nrc",NA
"662","ángel","Alegría","nrc",NA
"663","ángel","Asombro","nrc",NA
"664","ángel","Confianza","nrc",NA
"665","ángel","Positivo","nrc",NA
"666","ángel","Anticipación","nrc",NA
"667","angelical","Alegría","nrc",NA
"668","angelical","Confianza","nrc",NA
"669","angelical","Positivo","nrc",NA
"670","angina","Miedo","nrc",NA
"671","angina","Negativo","nrc",NA
"672","anguila","Miedo","nrc",NA
"673","angustia","Asombro","nrc",NA
"674","angustia","Rechazo","nrc",NA
"675","angustia","Enojo","nrc",NA
"676","angustia","Miedo","nrc",NA
"677","angustia","Negativo","nrc",NA
"678","angustia","Tristeza","nrc",NA
"679","angustiado","Miedo","nrc",NA
"680","angustiado","Negativo","nrc",NA
"681","angustioso","Enojo","nrc",NA
"682","angustioso","Miedo","nrc",NA
"683","angustioso","Negativo","nrc",NA
"684","anhelo","Alegría","nrc",NA
"685","anhelo","Confianza","nrc",NA
"686","anhelo","Negativo","nrc",NA
"687","anhelo","Positivo","nrc",NA
"688","anhelo","Anticipación","nrc",NA
"689","anhelo","Tristeza","nrc",NA
"690","animado","Alegría","nrc",NA
"691","animado","Positivo","nrc",NA
"692","animar","Positivo","nrc",NA
"693","animosidad","Rechazo","nrc",NA
"694","animosidad","Enojo","nrc",NA
"695","animosidad","Miedo","nrc",NA
"696","animosidad","Negativo","nrc",NA
"697","animosidad","Tristeza","nrc",NA
"698","aniquilación","Enojo","nrc",NA
"699","aniquilación","Miedo","nrc",NA
"700","aniquilación","Negativo","nrc",NA
"701","aniquilación","Tristeza","nrc",NA
"702","aniquilado","Enojo","nrc",NA
"703","aniquilado","Miedo","nrc",NA
"704","aniquilado","Negativo","nrc",NA
