"","palabra","sentimiento","lexicon","valor"
"132","ácaro","negativo","nrc",NA
"133","accesible","positivo","nrc",NA
"134","accesorio","positivo","nrc",NA
"135","accidental","asombro","nrc",NA
"136","accidental","miedo","nrc",NA
"137","accidental","negativo","nrc",NA
"138","accidentalmente","asombro","nrc",NA
"139","accidente","asombro","nrc",NA
"140","accidente","miedo","nrc",NA
"141","accidente","negativo","nrc",NA
"142","accidente","tristeza","nrc",NA
"143","acción","positivo","nrc",NA
"144","acecho","negativo","nrc",NA
"145","acelerador","ira","nrc",NA
"146","acelerador","negativo","nrc",NA
"147","acelerar","premonición","nrc",NA
"148","aceptable","positivo","nrc",NA
"149","aceptación","positivo","nrc",NA
"150","acertijo","asombro","nrc",NA
"151","achispado","negativo","nrc",NA
"152","acidez","negativo","nrc",NA
"153","ácido","negativo","nrc",NA
"154","aclarar","alegría","nrc",NA
"155","aclarar","asombro","nrc",NA
"156","aclarar","confianza","nrc",NA
"157","aclarar","positivo","nrc",NA
"158","acogedor","positivo","nrc",NA
"159","acolchado","positivo","nrc",NA
"160","acompañamiento","alegría","nrc",NA
"161","acompañamiento","confianza","nrc",NA
"162","acompañamiento","positivo","nrc",NA
"163","acompañamiento","premonición","nrc",NA
"164","acomplejado","negativo","nrc",NA
"165","aconsejable","confianza","nrc",NA
"166","aconsejable","positivo","nrc",NA
"167","aconsejado","confianza","nrc",NA
"168","acontecer","negativo","nrc",NA
"169","acordando","confianza","nrc",NA
"170","acordando","positivo","nrc",NA
"171","acordar","alegría","nrc",NA
"172","acordar","asombro","nrc",NA
"173","acordar","confianza","nrc",NA
"174","acordar","positivo","nrc",NA
"175","acordar","premonición","nrc",NA
"176","acorde","positivo","nrc",NA
"177","acoso","disgusto","nrc",NA
"178","acoso","ira","nrc",NA
"179","acoso","miedo","nrc",NA
"180","acoso","negativo","nrc",NA
"181","acoso","tristeza","nrc",NA
"182","acostado","disgusto","nrc",NA
"183","acostado","ira","nrc",NA
"184","acostado","negativo","nrc",NA
"185","acre","disgusto","nrc",NA
"186","acre","negativo","nrc",NA
"187","acreditado","confianza","nrc",NA
"188","acreditado","positivo","nrc",NA
"189","acribillado","negativo","nrc",NA
"190","acróbata","alegría","nrc",NA
"191","acróbata","confianza","nrc",NA
"192","acróbata","miedo","nrc",NA
"193","acróbata","positivo","nrc",NA
"194","acuchillar","ira","nrc",NA
"195","acuerdo","alegría","nrc",NA
"196","acuerdo","asombro","nrc",NA
"197","acuerdo","confianza","nrc",NA
"198","acuerdo","positivo","nrc",NA
"199","acuerdo","premonición","nrc",NA
"200","acuoso","negativo","nrc",NA
"201","acusación","disgusto","nrc",NA
"202","acusación","ira","nrc",NA
"203","acusación","miedo","nrc",NA
"204","acusación","negativo","nrc",NA
"205","acusación","tristeza","nrc",NA
"206","acusado","ira","nrc",NA
"207","acusado","miedo","nrc",NA
"208","acusado","negativo","nrc",NA
"209","acusado","tristeza","nrc",NA
"210","acusador","ira","nrc",NA
"211","acusador","miedo","nrc",NA
"212","acusador","negativo","nrc",NA
"213","acusando","ira","nrc",NA
"214","acusando","miedo","nrc",NA
"215","acusando","negativo","nrc",NA
"216","acusativo","negativo","nrc",NA
"217","adaptable","positivo","nrc",NA
"218","adaptar","positivo","nrc",NA
"219","adecuación","positivo","nrc",NA
"220","adecuado","alegría","nrc",NA
"221","adecuado","confianza","nrc",NA
"222","adecuado","positivo","nrc",NA
"223","adecuado","premonición","nrc",NA
"224","adelante","positivo","nrc",NA
"225","adelanto","positivo","nrc",NA
"226","adepto","positivo","nrc",NA
"227","adhiriéndose","confianza","nrc",NA
"228","adicción","negativo","nrc",NA
"229","adiós","premonición","nrc",NA
"230","adiposo","negativo","nrc",NA
"231","adivinación","premonición","nrc",NA
"232","adivinar","asombro","nrc",NA
"233","adjunto","positivo","nrc",NA
"234","administración","confianza","nrc",NA
"235","administración","positivo","nrc",NA
"236","administrativo","confianza","nrc",NA
"237","admirable","alegría","nrc",NA
"238","admirable","confianza","nrc",NA
"239","admirable","positivo","nrc",NA
"240","admiración","alegría","nrc",NA
"241","admiración","confianza","nrc",NA
"242","admiración","positivo","nrc",NA
"243","admirador","positivo","nrc",NA
"244","admirar","confianza","nrc",NA
"245","admirar","positivo","nrc",NA
"246","admisible","confianza","nrc",NA
"247","admisible","positivo","nrc",NA
"248","admonición","miedo","nrc",NA
"249","admonición","negativo","nrc",NA
"250","adoctrinamiento","ira","nrc",NA
"251","adoctrinamiento","miedo","nrc",NA
"252","adoctrinamiento","negativo","nrc",NA
"253","adolescentes","negativo","nrc",NA
"254","adolescentes","positivo","nrc",NA
"255","adorable","alegría","nrc",NA
"256","adorable","positivo","nrc",NA
"257","adoración","alegría","nrc",NA
"258","adoración","confianza","nrc",NA
"259","adoración","positivo","nrc",NA
"260","adorar","alegría","nrc",NA
"261","adorar","confianza","nrc",NA
"262","adorar","positivo","nrc",NA
"263","adorar","premonición","nrc",NA
"264","adornar","negativo","nrc",NA
"265","adornos","negativo","nrc",NA
"266","adquirir","positivo","nrc",NA
"267","adulterado","negativo","nrc",NA
"268","adulterio","disgusto","nrc",NA
"269","adulterio","negativo","nrc",NA
"270","adulterio","tristeza","nrc",NA
"271","advenimiento","alegría","nrc",NA
"272","advenimiento","confianza","nrc",NA
"273","advenimiento","positivo","nrc",NA
"274","advenimiento","premonición","nrc",NA
"275","adversario","disgusto","nrc",NA
"276","adversario","ira","nrc",NA
"277","adversario","miedo","nrc",NA
"278","adversario","negativo","nrc",NA
"279","adversario","premonición","nrc",NA
"280","adversidad","ira","nrc",NA
"281","adversidad","miedo","nrc",NA
"282","adversidad","negativo","nrc",NA
"283","adversidad","tristeza","nrc",NA
"284","adverso","disgusto","nrc",NA
"285","adverso","ira","nrc",NA
"286","adverso","miedo","nrc",NA
"287","adverso","negativo","nrc",NA
"288","adverso","tristeza","nrc",NA
"289","advertencia","miedo","nrc",NA
"290","advertir","asombro","nrc",NA
"291","advertir","confianza","nrc",NA
"292","advertir","miedo","nrc",NA
"293","advertir","negativo","nrc",NA
"294","advertir","premonición","nrc",NA
"295","aeropuerto","premonición","nrc",NA
"296","afable","positivo","nrc",NA
"297","afán","alegría","nrc",NA
"298","afán","confianza","nrc",NA
"299","afán","positivo","nrc",NA
"300","afán","premonición","nrc",NA
"301","afectado","negativo","nrc",NA
"302","afecto","alegría","nrc",NA
"303","afecto","confianza","nrc",NA
"304","afecto","positivo","nrc",NA
"305","afeminado","negativo","nrc",NA
"306","afición","alegría","nrc",NA
"307","afición","positivo","nrc",NA
"308","afilar","ira","nrc",NA
"309","afilar","premonición","nrc",NA
"310","afín","alegría","nrc",NA
"311","afín","confianza","nrc",NA
"312","afín","positivo","nrc",NA
"313","afín","premonición","nrc",NA
"314","afirmación","positivo","nrc",NA
"315","afirmando","confianza","nrc",NA
"316","afirmando","positivo","nrc",NA
"317","afirmar","confianza","nrc",NA
"318","afirmar","positivo","nrc",NA
"319","afirmativamente","confianza","nrc",NA
"320","afirmativamente","positivo","nrc",NA
"321","afirmativo","positivo","nrc",NA
"322","aflicción","disgusto","nrc",NA
"323","aflicción","miedo","nrc",NA
"324","aflicción","negativo","nrc",NA
"325","aflicción","tristeza","nrc",NA
"326","afligido","negativo","nrc",NA
"327","afligido","tristeza","nrc",NA
"328","afligir","miedo","nrc",NA
"329","afligir","negativo","nrc",NA
"330","afligir","tristeza","nrc",NA
"331","afligirse","miedo","nrc",NA
"332","afligirse","negativo","nrc",NA
"333","afligirse","tristeza","nrc",NA
"334","afluente","positivo","nrc",NA
"335","afluente","premonición","nrc",NA
"336","aforo","confianza","nrc",NA
"337","afortunado","alegría","nrc",NA
"338","afortunado","asombro","nrc",NA
"339","afortunado","positivo","nrc",NA
"340","afrenta","asombro","nrc",NA
"341","afrenta","disgusto","nrc",NA
"342","afrenta","ira","nrc",NA
"343","afrenta","miedo","nrc",NA
"344","afrenta","negativo","nrc",NA
"345","afrenta","tristeza","nrc",NA
"346","agacharse","miedo","nrc",NA
"347","agarrando","negativo","nrc",NA
"348","agarrando","premonición","nrc",NA
"349","agarrar","ira","nrc",NA
"350","agarrar","negativo","nrc",NA
"351","agazapado","miedo","nrc",NA
"352","agazapado","negativo","nrc",NA
"353","ágil","positivo","nrc",NA
"354","agilidad","positivo","nrc",NA
"355","agitación","ira","nrc",NA
"356","agitación","miedo","nrc",NA
"357","agitación","negativo","nrc",NA
"358","agitado","ira","nrc",NA
"359","agitado","negativo","nrc",NA
"360","agonía","ira","nrc",NA
"361","agonía","miedo","nrc",NA
"362","agonía","negativo","nrc",NA
"363","agonía","tristeza","nrc",NA
"364","agonizante","miedo","nrc",NA
"365","agonizante","negativo","nrc",NA
"366","agotado","negativo","nrc",NA
"367","agotado","tristeza","nrc",NA
"368","agotamiento","negativo","nrc",NA
"369","agotamiento","premonición","nrc",NA
"370","agotamiento","tristeza","nrc",NA
"371","agraciado","positivo","nrc",NA
"372","agradable","alegría","nrc",NA
"373","agradable","asombro","nrc",NA
"374","agradable","confianza","nrc",NA
"375","agradable","positivo","nrc",NA
"376","agradable","premonición","nrc",NA
"377","agradecido","alegría","nrc",NA
"378","agradecido","positivo","nrc",NA
"379","agravación","disgusto","nrc",NA
"380","agravación","ira","nrc",NA
"381","agravación","negativo","nrc",NA
"382","agravado","ira","nrc",NA
"383","agravado","negativo","nrc",NA
"384","agravante","ira","nrc",NA
"385","agravante","negativo","nrc",NA
"386","agravante","tristeza","nrc",NA
"387","agravio","disgusto","nrc",NA
"388","agravio","ira","nrc",NA
"389","agravio","negativo","nrc",NA
"390","agravio","tristeza","nrc",NA
"391","agresión","ira","nrc",NA
"392","agresión","miedo","nrc",NA
"393","agresión","negativo","nrc",NA
"394","agresivo","ira","nrc",NA
"395","agresivo","miedo","nrc",NA
"396","agresivo","negativo","nrc",NA
"397","agresor","ira","nrc",NA
"398","agresor","miedo","nrc",NA
"399","agresor","negativo","nrc",NA
"400","agresor","tristeza","nrc",NA
"401","agricultura","confianza","nrc",NA
"402","agricultura","positivo","nrc",NA
"403","agrietado","ira","nrc",NA
"404","agrietado","miedo","nrc",NA
"405","agrietado","negativo","nrc",NA
"406","agrietamiento","negativo","nrc",NA
"407","agrimensura","positivo","nrc",NA
"408","agrio","disgusto","nrc",NA
"409","agrio","negativo","nrc",NA
"410","aguanieve","negativo","nrc",NA
"411","aguante","confianza","nrc",NA
"412","aguante","positivo","nrc",NA
"413","agudeza","positivo","nrc",NA
"414","agudísimo","miedo","nrc",NA
"415","agudísimo","negativo","nrc",NA
"416","agüero","miedo","nrc",NA
"417","agüero","negativo","nrc",NA
"418","agüero","premonición","nrc",NA
"419","águila","confianza","nrc",NA
"420","agujereado","negativo","nrc",NA
"421","ahogado","ira","nrc",NA
"422","ahogado","miedo","nrc",NA
"423","ahogado","negativo","nrc",NA
"424","ahogado","tristeza","nrc",NA
"425","ahogar","ira","nrc",NA
"426","ahogar","negativo","nrc",NA
"427","ahogarse","miedo","nrc",NA
"428","ahogarse","negativo","nrc",NA
"429","ahogarse","tristeza","nrc",NA
"430","ahorro","confianza","nrc",NA
"431","ahorro","disgusto","nrc",NA
"432","ahorro","positivo","nrc",NA
"433","ahorros","positivo","nrc",NA
"434","airado","ira","nrc",NA
"435","airado","negativo","nrc",NA
"436","aires","disgusto","nrc",NA
"437","aires","negativo","nrc",NA
"438","aislado","miedo","nrc",NA
"439","aislado","negativo","nrc",NA
"440","aislado","tristeza","nrc",NA
"441","aislamiento","confianza","nrc",NA
"442","aislamiento","negativo","nrc",NA
"443","aislamiento","tristeza","nrc",NA
"444","aislar","tristeza","nrc",NA
"445","ajedrea","positivo","nrc",NA
"446","alabado","alegría","nrc",NA
"447","alabado","positivo","nrc",NA
"448","alabanza","alegría","nrc",NA
"449","alabanza","confianza","nrc",NA
"450","alabanza","positivo","nrc",NA
"451","alabastro","positivo","nrc",NA
"452","alardear","negativo","nrc",NA
"453","alarma","asombro","nrc",NA
"454","alarma","miedo","nrc",NA
"455","alarma","negativo","nrc",NA
"456","alarmante","asombro","nrc",NA
"457","alarmante","miedo","nrc",NA
"458","alarmante","negativo","nrc",NA
"459","alba","confianza","nrc",NA
"460","albacea","confianza","nrc",NA
"461","alborada","premonición","nrc",NA
"462","alboroto","ira","nrc",NA
"463","alboroto","miedo","nrc",NA
"464","alboroto","negativo","nrc",NA
"465","alcalde","positivo","nrc",NA
"466","alcantarilla","disgusto","nrc",NA
"467","alcantarillado","disgusto","nrc",NA
"468","alcantarillado","negativo","nrc",NA
"469","alcanzable","positivo","nrc",NA
"470","alcanzable","premonición","nrc",NA
"471","alcohol","alegría","nrc",NA
"472","alcohol","ira","nrc",NA
"473","alcohol","negativo","nrc",NA
"474","alcohol","tristeza","nrc",NA
"475","alcoholismo","disgusto","nrc",NA
"476","alcoholismo","ira","nrc",NA
"477","alcoholismo","miedo","nrc",NA
"478","alcoholismo","negativo","nrc",NA
"479","alcoholismo","tristeza","nrc",NA
"480","aldeano","confianza","nrc",NA
"481","aldeano","positivo","nrc",NA
"482","aleatorización","negativo","nrc",NA
"483","alegación","ira","nrc",NA
"484","alegación","negativo","nrc",NA
"485","alegar","negativo","nrc",NA
"486","alegre","alegría","nrc",NA
"487","alegre","asombro","nrc",NA
"488","alegre","confianza","nrc",NA
"489","alegre","positivo","nrc",NA
"490","alegre","premonición","nrc",NA
"491","alegría","alegría","nrc",NA
"492","alegría","asombro","nrc",NA
"493","alegría","confianza","nrc",NA
"494","alegría","positivo","nrc",NA
"495","alegría","premonición","nrc",NA
"496","alegro","positivo","nrc",NA
"497","alejado","ira","nrc",NA
"498","alejado","miedo","nrc",NA
"499","alejado","negativo","nrc",NA
"500","alejado","tristeza","nrc",NA
"501","alentar","alegría","nrc",NA
"502","alentar","confianza","nrc",NA
"503","alentar","positivo","nrc",NA
"504","alertas","asombro","nrc",NA
"505","alertas","miedo","nrc",NA
"506","alertas","premonición","nrc",NA
"507","alférez","positivo","nrc",NA
"508","algarabía","ira","nrc",NA
"509","algarabía","negativo","nrc",NA
"510","alguacil","confianza","nrc",NA
"511","alguacil","miedo","nrc",NA
"512","alguacil","negativo","nrc",NA
"513","aliado","confianza","nrc",NA
"514","aliado","positivo","nrc",NA
"515","alianza","confianza","nrc",NA
"516","alienación","disgusto","nrc",NA
"517","alienación","ira","nrc",NA
"518","alienación","miedo","nrc",NA
"519","alienación","negativo","nrc",NA
"520","alienación","tristeza","nrc",NA
"521","alienado","negativo","nrc",NA
"522","alienado","tristeza","nrc",NA
"523","alimentación","positivo","nrc",NA
"524","alimento","positivo","nrc",NA
"525","aliviando","positivo","nrc",NA
"526","aliviar","positivo","nrc",NA
"527","alivio","alegría","nrc",NA
"528","alivio","confianza","nrc",NA
"529","alivio","positivo","nrc",NA
"530","alma","positivo","nrc",NA
"531","almirante","confianza","nrc",NA
"532","almirante","positivo","nrc",NA
"533","almohada","positivo","nrc",NA
"534","alojamiento","confianza","nrc",NA
"535","alojamiento","positivo","nrc",NA
"536","alquitranado","negativo","nrc",NA
"537","altercado","ira","nrc",NA
"538","altercado","negativo","nrc",NA
"539","altivo","ira","nrc",NA
"540","altivo","negativo","nrc",NA
"541","alto","negativo","nrc",NA
"542","altruista","positivo","nrc",NA
"543","alucinación","miedo","nrc",NA
"544","alucinación","negativo","nrc",NA
"545","amabilidad","alegría","nrc",NA
"546","amabilidad","confianza","nrc",NA
"547","amabilidad","positivo","nrc",NA
"548","amable","alegría","nrc",NA
"549","amable","confianza","nrc",NA
"550","amable","positivo","nrc",NA
"551","amanecer","alegría","nrc",NA
"552","amanecer","asombro","nrc",NA
"553","amanecer","confianza","nrc",NA
"554","amanecer","positivo","nrc",NA
"555","amanecer","premonición","nrc",NA
"556","amanerado","positivo","nrc",NA
"557","amante","alegría","nrc",NA
"558","amante","confianza","nrc",NA
"559","amante","positivo","nrc",NA
"560","amante","premonición","nrc",NA
"561","amargamente","disgusto","nrc",NA
"562","amargamente","ira","nrc",NA
"563","amargamente","negativo","nrc",NA
"564","amargamente","tristeza","nrc",NA
"565","amargura","disgusto","nrc",NA
"566","amargura","ira","nrc",NA
"567","amargura","negativo","nrc",NA
"568","amargura","tristeza","nrc",NA
"569","amarillos","negativo","nrc",NA
"570","amarras","confianza","nrc",NA
"571","ambición","alegría","nrc",NA
"572","ambición","confianza","nrc",NA
"573","ambición","positivo","nrc",NA
"574","ambición","premonición","nrc",NA
"575","ambicioso","alegría","nrc",NA
"576","ambicioso","confianza","nrc",NA
"577","ambicioso","positivo","nrc",NA
"578","ambicioso","premonición","nrc",NA
"579","ambiental","positivo","nrc",NA
"580","ambiguo","negativo","nrc",NA
"581","ambulancia","confianza","nrc",NA
"582","ambulancia","miedo","nrc",NA
"583","amén","alegría","nrc",NA
"584","amén","confianza","nrc",NA
"585","amén","positivo","nrc",NA
"586","amenaza","ira","nrc",NA
"587","amenaza","miedo","nrc",NA
"588","amenaza","negativo","nrc",NA
"589","amenazador","ira","nrc",NA
"590","amenazador","miedo","nrc",NA
"591","amenazador","negativo","nrc",NA
"592","amenazante","disgusto","nrc",NA
"593","amenazante","ira","nrc",NA
"594","amenazante","miedo","nrc",NA
"595","amenazante","negativo","nrc",NA
"596","amenazar","ira","nrc",NA
"597","amenazar","miedo","nrc",NA
"598","amenazar","negativo","nrc",NA
"599","amenazar","premonición","nrc",NA
"600","amenidad","positivo","nrc",NA
"601","amigo","alegría","nrc",NA
"602","amigo","confianza","nrc",NA
"603","amigo","positivo","nrc",NA
"604","amigo","premonición","nrc",NA
"605","amistad","alegría","nrc",NA
"606","amistad","confianza","nrc",NA
"607","amistad","positivo","nrc",NA
"608","amistoso","alegría","nrc",NA
"609","amistoso","confianza","nrc",NA
"610","amistoso","positivo","nrc",NA
"611","amistoso","premonición","nrc",NA
"612","amnesia","negativo","nrc",NA
"613","amnistía","alegría","nrc",NA
"614","amnistía","positivo","nrc",NA
"615","amoníaco","disgusto","nrc",NA
"616","amor","alegría","nrc",NA
"617","amor","positivo","nrc",NA
"618","amoroso","alegría","nrc",NA
"619","amoroso","confianza","nrc",NA
"620","amoroso","positivo","nrc",NA
"621","amortización","confianza","nrc",NA
"622","amotinado","asombro","nrc",NA
"623","amotinado","ira","nrc",NA
"624","amotinado","miedo","nrc",NA
"625","amotinado","negativo","nrc",NA
"626","ampliar","positivo","nrc",NA
"627","ampolla","disgusto","nrc",NA
"628","ampolla","negativo","nrc",NA
"629","anaconda","disgusto","nrc",NA
"630","anaconda","miedo","nrc",NA
"631","anaconda","negativo","nrc",NA
"632","anal","negativo","nrc",NA
"633","analfabeto","disgusto","nrc",NA
"634","analfabeto","negativo","nrc",NA
"635","analista","confianza","nrc",NA
"636","analista","positivo","nrc",NA
"637","analista","premonición","nrc",NA
"638","anarquía","ira","nrc",NA
"639","anarquía","miedo","nrc",NA
"640","anarquía","negativo","nrc",NA
"641","anarquismo","ira","nrc",NA
"642","anarquismo","miedo","nrc",NA
"643","anarquismo","negativo","nrc",NA
"644","anarquista","ira","nrc",NA
"645","anarquista","miedo","nrc",NA
"646","anarquista","negativo","nrc",NA
"647","anatema","disgusto","nrc",NA
"648","anatema","ira","nrc",NA
"649","anatema","miedo","nrc",NA
"650","anatema","negativo","nrc",NA
"651","anatema","tristeza","nrc",NA
"652","ancestral","confianza","nrc",NA
"653","anciano","confianza","nrc",NA
"654","anciano","positivo","nrc",NA
"655","ancianos","confianza","nrc",NA
"656","ancianos","positivo","nrc",NA
"657","ancla","positivo","nrc",NA
"658","andamio","miedo","nrc",NA
"659","andamio","negativo","nrc",NA
"660","anfetaminas","disgusto","nrc",NA
"661","anfetaminas","negativo","nrc",NA
"662","ángel","alegría","nrc",NA
"663","ángel","asombro","nrc",NA
"664","ángel","confianza","nrc",NA
"665","ángel","positivo","nrc",NA
"666","ángel","premonición","nrc",NA
"667","angelical","alegría","nrc",NA
"668","angelical","confianza","nrc",NA
"669","angelical","positivo","nrc",NA
"670","angina","miedo","nrc",NA
"671","angina","negativo","nrc",NA
"672","anguila","miedo","nrc",NA
"673","angustia","asombro","nrc",NA
"674","angustia","disgusto","nrc",NA
"675","angustia","ira","nrc",NA
"676","angustia","miedo","nrc",NA
"677","angustia","negativo","nrc",NA
"678","angustia","tristeza","nrc",NA
"679","angustiado","miedo","nrc",NA
"680","angustiado","negativo","nrc",NA
"681","angustioso","ira","nrc",NA
"682","angustioso","miedo","nrc",NA
"683","angustioso","negativo","nrc",NA
"684","anhelo","alegría","nrc",NA
"685","anhelo","confianza","nrc",NA
"686","anhelo","negativo","nrc",NA
"687","anhelo","positivo","nrc",NA
"688","anhelo","premonición","nrc",NA
"689","anhelo","tristeza","nrc",NA
"690","animado","alegría","nrc",NA
"691","animado","positivo","nrc",NA
"692","animar","positivo","nrc",NA
"693","animosidad","disgusto","nrc",NA
"694","animosidad","ira","nrc",NA
"695","animosidad","miedo","nrc",NA
"696","animosidad","negativo","nrc",NA
"697","animosidad","tristeza","nrc",NA
"698","aniquilación","ira","nrc",NA
"699","aniquilación","miedo","nrc",NA
"700","aniquilación","negativo","nrc",NA
"701","aniquilación","tristeza","nrc",NA
"702","aniquilado","ira","nrc",NA
"703","aniquilado","miedo","nrc",NA
"704","aniquilado","negativo","nrc",NA
"705","aniquilado","tristeza","nrc",NA
"706","aniquilar","ira","nrc",NA
"707","aniquilar","miedo","nrc",NA
"708","aniquilar","negativo","nrc",NA
"709","aniversario","alegría","nrc",NA
"710","aniversario","asombro","nrc",NA
"711","aniversario","positivo","nrc",NA
"712","anomalía","asombro","nrc",NA
"713","anomalía","miedo","nrc",NA
"714","anomalía","negativo","nrc",NA
"715","anónimo","negativo","nrc",NA
"716","anormal","disgusto","nrc",NA
"717","anormal","negativo","nrc",NA
"718","ansia","premonición","nrc",NA
"719","ansiedad","ira","nrc",NA
"720","ansiedad","miedo","nrc",NA
"721","ansiedad","negativo","nrc",NA
"722","ansiedad","premonición","nrc",NA
"723","ansiedad","tristeza","nrc",NA
"724","ansioso","alegría","nrc",NA
"725","ansioso","asombro","nrc",NA
"726","ansioso","confianza","nrc",NA
"727","ansioso","miedo","nrc",NA
"728","ansioso","negativo","nrc",NA
"729","ansioso","positivo","nrc",NA
"730","ansioso","premonición","nrc",NA
"731","antagónico","disgusto","nrc",NA
"732","antagónico","ira","nrc",NA
"733","antagónico","negativo","nrc",NA
"734","antagonismo","ira","nrc",NA
"735","antagonismo","negativo","nrc",NA
"736","antagonista","ira","nrc",NA
"737","antagonista","negativo","nrc",NA
"738","antebrazo","ira","nrc",NA
"739","antebrazo","premonición","nrc",NA
"740","antepasados","alegría","nrc",NA
"741","antepasados","confianza","nrc",NA
"742","antepasados","positivo","nrc",NA
"743","antibióticos","positivo","nrc",NA
"744","anticipación","premonición","nrc",NA
"745","anticipado","premonición","nrc",NA
"746","anticristo","disgusto","nrc",NA
"747","anticristo","ira","nrc",NA
